Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV24,,0,3,"4,00000000000007","382,32958984375","84,9225997924805","5,0276403427124","0,870331704616547"
Solved,False,DV25,,0,3,"4,99999999999974","361,134765625","88,4517517089844","4,90844106674194","1,25452864170074"
Solved,False,DV26,,0,"3,99999999999989",0,"391,3203125","87,4482879638672","5,32661962509155","0,270019501447678"
Solved,False,DV27,,0,4,"0,999999999999994","398,48828125","87,4347915649414","5,50981473922729","0,278276562690735"
Solved,False,DV28,,0,4,"1,99999999999999","394,60888671875","87,6036605834961","5,36941385269165","-0,122677609324455"
Solved,False,DV29,,0,4,"2,99999999999972","383,976318359375","87,5376281738281","5,2865195274353","0,298677504062653"
Solved,False,DV30,,0,4,"4,00000000000023","383,203125","87,1664657592773","5,12106657028198","0,207012340426445"
Solved,False,DV31,,0,4,"4,99999999999974","369,51220703125","88,5584564208984","5,07399082183838","0,8710076212883"
Solved,False,DV32,,0,"5,00000000000037","1,30402741940004E-13","386,415283203125","88,293815612793","5,37859630584717","0,572075307369232"
Solved,False,DV33,,0,5,"1,00000000000005","394,11865234375","84,4427719116211","5,37678241729736","0,351159423589706"
Solved,False,DV34,,0,5,"2,00000000000005","391,815185546875","84,6138534545898","5,33491134643555","0,14472484588623"
Solved,False,DV35,,0,5,"2,99999999999999","388,52099609375","85,8427047729492","5,40207242965698","0,493212670087814"
Solved,False,DV36,,0,5,"3,99999999999981","381,8349609375","84,2164077758789","5,01253795623779","0,525689363479614"
Solved,False,DV37,,0,5,"5,00000000000001","367,629638671875","87,6140747070313","4,97714519500732","1,04293262958527"
Solved,False,DV38,,1,0,"1,83677032854518E-13","360,55224609375","83,8555603027344","5,11138486862183","1,2945853471756"
Solved,False,DV39,,1,0,"0,999999999999888","371,42919921875","83,9898300170898","5,10924386978149","1,09959292411804"
Solved,False,DV40,,1,0,"1,99999999999984","367,438232421875","83,8704376220703","5,12263250350952","0,909391283988953"
